Aufgabe;Duration
Person;B
Clusterzahl;45
test01;2500,2500,2500
test02;750
test03;2500,2500,2500
test04;750,750
test05;750,750,750,750
test06;750,750
test07;750,750,750
test08;750,750,750,2750,2750
test09;2750,2750
test10;2500,2500
test11;2750,2750
test12;750,1250,2000
test13;750,
test14;1500,1500,2000,2000
