Aufgabe;Duration
Person;E
Clusterzahl;3
test01;2750
test02;750,750
test03;750,750,750,750,3000,3000
test04;750,750,750
test05;750,750,2250,2250,2250,2250
test06;750,750,2500,2500,2500
test07;750,750,750
test08;500,500,3000,3000,3000,3000,3000,3000,0,750,2000,2000,2000,2000,2000,2000
test09;750,750,2000,2000,2000,2000
test10;750,750,2000,2000,3000
test11;750,2000,2000,2000,2000
test12;750,250,1500,1500,2500,3000,1500
test13;750,1500,1500,1500
test14;750,750,750,2000,2000
