Aufgabe;Duration
Person;F
Clusterzahl;4
test01;1250,1250
test02;750
test03;1250,1250
test04;1250
test05;750
test06;750,750
test07;750
test08;750,750,750,750
test09;750,750,750,750,750,750,750
test10;750,750,750,750
test11;750
test12;750,1000,1000,1000
test13;750,750,3000
test14;1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
